DCS-ID	input	output
10004	kumBake kevale sidDe kiM na siDyati BUtale	
101106	mArkaRqeya uvAca	
101371	pitAmahaS ca no vyAsaH SamaM vadati nityaSaH	
101654	asidDO nindyate cApi karmanASaH kaTaM tviha	
101694	bahUnAM samavAye hi BAvAnAM karma siDyati	
101764	brahmA vizRustaTeSAno devatAH praBuravyayaH	
102092	dvAtriMSattvevamapyuktaH parvato ganDamAdanaH	
102506	tasmAcCatruvaDe rAjan kriyatAM niScayas tvayA	
102670	Sakram eva prapadyasva sa te 'strARi pradAsyati	
102887	nAdaH prasravaRAnAM ca pakziRAM cApyupAramat	
103489	tatra marakataKaRqAni vajrARAM ca sahasraSaH	
10439	jantujuzwaM jale magnam aBUmijam anArtavam	
105039	dvinAmAnyeva varzARi yaTEva girayastaTA	
105070	aBigacCanti tAScAnyA nadA nadyaH sarAMsi ca	
105250	dArakO ca hi me nItO vasatas tatra bAlakO	
105278	apakfzya ca lajjAM mAM svayam uktavatI nfpa	
105314	bfhadaSva uvAca	
106331	BIzmo DarmaBftAM SrezWo viDidfzwena karmaRA	
106708	mAnuzasya tu pUrveRa kroSamAtre mahIpate	
106960	pfTivyAM yAni tIrTAni antarikzacarARi ca	
107597	praBavecca kule puRye sarvapApaM vyapohati	
107708	niyatAtmA naraH pUto gacCeta paramAM gatim	
107907	fzaya UcuH	
108388	aBiGAtAtkzayAtkopAcCokAdDyAnAcCramAtkzuDaH	
108914	tad yadA manyase brahman gamanaM tIrTadarSane	
109645	evaM caturzu pArSvezu dakziRAntezu sarpati	
109986	asmAkaM BayaBItAnAM tvaM gatir maDusUdana	
109994	idaM ca samanuprAptaM lokAnAM Bayam uttamam	
111424	ASramasTaM vinA rAmaM jamadagnim upAdravan	
111522	te hi sarve mahAtmAnaH sarvaSAstraviSAradAH	
111726	kOtUhalAt kaRwakena budDimohabalAtkftA	
112070	tena somakulotpanno gAnDArADipatir mahAn	
11236	samprAptaH sADakaH sAkzAt sarvalokAntarAtmanA	
112634	hutASanasyeva samidDatejasaH sTiro Bavasveha mamAdya bandin	
11268	yat taj jYAnaM tad evAsya dAnaM yatnena dIyate	
112992	arvAvasus tadA sattram AjagAma punar muniH	
113017	kAlena mahatA kleSAd brahmADigatam uttamam	
113752	kadalIvanamaDyasTam aTa pIne SilAtale	
113801	BIma uvAca	
114456	mahABrEr iva SElendrO yuyuDAte mahAbalO	
114481	samAS catasro 'BigatAH Sivena caratAM vane	
114483	prApya parvatarAjAnaM SvetaM SiKariRAM varam	
114575	kokilEH kalaviNkES ca hArItEr jIvajIvakEH	
115115	deSaM virajasaM paSya meroH SiKaram uttamam	
115215	gadA BUtvA SaktayaSca tadA devaraTe'ByayuH	
116252	rudradattaM tadA dIptaM dIptAnalasamapraBam	
116513	nityapuzpaPalEr vfkzEr himasaMsparSakomalEH	
117057	etad aDyAtmaviduzAM paraM kAryaM viDIyate	
117394	tatrAsya svakftaM karma CAyevAnugataM sadA	
117487	viDinAnena SAmyanti sadanakzavaTujvarAH	
117540	atiTIn annapAnena BftyAn atyaSanena ca	
117985	sAkzAllakzmyA ivAvAsaH sa tadA pratiBAti me	
118044	mahAtmano muKAt tasya vivftAt puruzottama	
118415	sa cApi niDanaM prApto vidyunmAlI mahAyaSAH	
118586	brAhmaRo ruzito hanyAd api lokAn pratijYayA	
118717	rakzitavyAH prajA rAjYA tAs tvaM rakzitum arhasi	
119085	apaSyat tatra gatvA taM sUnAmaDye vyavasTitam	
119119	brahmacaryaM tapo mantrAH satyaM ca brAhmaRe sadA	
119541	mArkaRqeya uvAca	
119717	BUmiH paYcaguRA brahmann udakaM ca caturguRam	
120183	mAtApitroS ca SuSrUzA vyADe DarmaS ca kIrtitaH	
120620	Bavati cAtra	
120899	tena haMsAS ca gfDrAS ca meruM gacCanti parvatam	
120948	sarvAs tvadyABigacCantu skandaM lokasya mAtaraH	
121193	skanda uvAca	
121204	mArkaRqeya uvAca	
121241	evam ete kumArARAM mayA proktA mahAgrahAH	
